employee_id,department,job_level,experience_years,on_time_delivery_rate,bug_count,training_hours,avg_login_hours,peer_score,manager_score,target_perf_band
EMP_00025,Sales,Lead,14.9,0.82,0,12,7.7,2.9,4.0,High
EMP_00026,Marketing,Mid,3.5,0.66,2,19,4.6,3.8,2.7,Medium
EMP_00027,Engineering,Junior,18.3,0.97,9,11,10.2,4.7,5.0,High
EMP_00028,Sales,Junior,17.9,0.84,0,8,8.8,4.8,2.4,Medium
EMP_00029,Sales,Senior,13.3,0.65,0,15,6.3,3.3,3.8,Medium
EMP_00030,Engineering,Junior,13.6,0.39,10,13,8.8,2.6,2.1,Low
EMP_00031,Sales,Mid,0.6,0.57,2,9,8.5,3.3,1.8,Low
EMP_00032,Engineering,Mid,19.7,0.95,9,13,10.2,4.9,3.7,High
EMP_00033,Engineering,Mid,17.6,0.72,9,18,8.9,4.3,3.8,High
EMP_00034,Customer Support,Mid,18.0,0.78,0,19,8.9,3.8,3.6,High
EMP_00035,HR,Junior,13.4,0.8,0,17,8.5,3.1,4.7,High
EMP_00036,Customer Support,Mid,7.2,0.52,1,18,7.0,4.2,3.5,Medium
EMP_00037,Engineering,Mid,17.9,0.87,9,17,9.2,5.0,4.1,High
EMP_00038,Engineering,Lead,6.2,0.91,11,16,8.2,3.4,2.9,Medium
EMP_00039,Marketing,Senior,11.5,0.69,0,21,6.8,1.9,4.5,High
EMP_00040,Sales,Lead,2.4,0.45,2,13,7.2,2.7,4.6,Low
EMP_00041,Engineering,Senior,18.5,0.78,9,14,6.5,3.6,3.3,High
EMP_00042,Sales,Mid,3.2,0.3,2,8,9.8,3.4,3.8,Medium
EMP_00043,Engineering,Junior,4.9,0.7,12,25,11.2,4.6,2.9,Medium
EMP_00044,Customer Support,Mid,11.4,0.78,0,15,9.9,3.0,3.3,Medium
EMP_00045,Engineering,Mid,15.4,1.0,9,12,8.8,3.4,4.1,High
EMP_00046,Marketing,Mid,12.6,0.7,0,12,8.1,3.0,3.9,Medium
EMP_00047,Engineering,Mid,5.0,0.71,11,11,7.8,4.1,2.1,Medium
EMP_00048,Sales,Mid,0.5,0.48,2,22,6.7,2.8,2.6,Low
EMP_00049,Sales,Mid,15.3,0.7,0,9,11.1,3.3,3.0,Medium
EMP_00050,Engineering,Mid,19.7,0.57,9,18,6.6,2.3,3.7,Medium
EMP_00051,HR,Junior,16.3,0.73,0,17,6.9,3.1,2.8,Medium
EMP_00052,Marketing,Senior,9.5,0.65,1,22,7.9,4.8,2.4,Medium
EMP_00053,Customer Support,Junior,18.1,0.83,0,21,8.0,4.9,1.4,Medium
EMP_00054,Customer Support,Junior,8.5,0.59,1,10,9.1,4.0,5.0,High
EMP_00055,Sales,Mid,10.7,0.72,0,12,7.2,3.9,3.7,High
EMP_00056,Customer Support,Mid,9.8,0.65,1,17,5.2,3.0,2.3,Low
EMP_00057,Engineering,Mid,9.2,0.64,11,13,7.9,3.7,4.3,Medium
EMP_00058,Engineering,Junior,15.6,0.77,9,19,8.0,3.6,4.7,High
EMP_00059,Engineering,Mid,10.8,0.71,10,13,7.8,3.5,3.7,Medium
EMP_00060,Engineering,Mid,6.7,0.78,11,15,7.8,4.1,4.0,Medium
EMP_00061,Engineering,Lead,5.5,0.64,11,10,7.7,2.7,4.5,Medium
EMP_00062,Engineering,Lead,1.2,0.56,12,20,6.2,5.0,4.0,High
EMP_00063,Customer Support,Mid,11.9,0.69,0,9,10.4,4.8,4.0,Medium
EMP_00064,Engineering,Mid,5.0,0.54,11,8,10.3,2.9,2.3,Low
EMP_00065,Engineering,Senior,3.4,0.58,12,20,10.3,3.6,1.3,Low
EMP_00066,Sales,Junior,13.2,1.0,0,19,6.4,3.0,4.2,High
EMP_00067,Engineering,Mid,13.8,0.6,10,10,8.8,4.0,3.3,Medium
EMP_00068,Customer Support,Mid,15.2,0.71,0,22,7.6,3.4,3.1,Medium
EMP_00069,Engineering,Lead,10.3,0.64,10,20,7.5,2.0,4.3,Low
EMP_00070,HR,Junior,17.9,0.74,0,19,6.8,2.8,2.7,Medium
EMP_00071,Marketing,Mid,18.8,0.74,0,15,12.0,4.6,3.5,High
EMP_00072,Engineering,Senior,16.2,0.8,9,10,7.8,3.3,3.5,Low
EMP_00073,Engineering,Mid,12.9,0.47,10,19,6.8,3.3,4.1,Low
EMP_00074,Customer Support,Junior,6.4,0.82,1,17,8.4,4.0,3.8,Medium
EMP_00075,Marketing,Lead,19.7,0.89,0,13,9.3,4.3,3.8,High
EMP_00076,Marketing,Mid,5.8,0.47,1,12,8.0,3.4,3.2,Medium
EMP_00077,Marketing,Mid,4.5,0.3,2,12,8.6,1.8,3.2,Low
EMP_00078,Engineering,Junior,9.1,0.54,11,13,9.7,2.9,3.8,Low
EMP_00079,Engineering,Mid,1.6,0.58,12,14,6.8,1.8,3.1,Low
EMP_00080,Engineering,Mid,19.6,1.0,9,11,8.5,2.4,2.8,Low
EMP_00081,Customer Support,Junior,12.0,0.8,0,9,7.2,3.6,4.5,High
EMP_00082,Sales,Junior,11.4,0.44,0,16,7.0,3.5,3.0,Medium
EMP_00083,Engineering,Senior,13.3,0.63,10,11,10.8,4.5,3.1,Medium
EMP_00084,Engineering,Junior,10.2,0.69,10,20,8.1,3.5,4.5,Medium
EMP_00085,Engineering,Junior,1.1,0.65,12,16,6.6,2.8,2.9,Low
EMP_00086,Engineering,Mid,12.4,0.53,10,14,8.0,4.5,3.8,Medium
EMP_00087,Marketing,Senior,14.5,0.72,0,16,6.4,4.9,3.8,High
EMP_00088,Sales,Junior,8.6,0.58,1,16,7.9,4.2,3.4,Medium
EMP_00089,Customer Support,Mid,15.3,0.59,0,17,7.2,3.4,3.2,Medium
EMP_00090,Sales,Junior,4.9,0.69,2,11,9.0,3.3,2.6,Low
EMP_00091,Engineering,Junior,4.8,0.76,12,7,11.1,2.5,4.0,Low
EMP_00092,Marketing,Junior,3.6,0.76,2,16,7.9,2.9,4.4,Medium
EMP_00093,Marketing,Senior,7.8,0.76,1,20,7.2,3.1,4.3,High
EMP_00094,Sales,Junior,17.0,0.7,0,8,8.3,2.4,3.8,Medium
EMP_00095,Marketing,Junior,16.6,0.87,0,19,10.4,3.2,1.9,Low
EMP_00096,Sales,Mid,8.0,0.73,1,19,9.0,3.3,4.1,Medium
EMP_00097,Sales,Senior,12.0,0.74,0,14,8.0,4.5,3.4,High
EMP_00098,Sales,Junior,14.6,0.65,0,21,5.1,2.2,3.0,Low
EMP_00099,Engineering,Mid,5.2,0.58,11,13,8.1,3.6,4.0,Medium
EMP_00100,Engineering,Junior,3.8,0.65,12,6,9.4,2.4,3.7,Low
EMP_00101,Engineering,Mid,19.5,1.0,9,15,9.6,1.9,4.3,Medium
EMP_00102,Sales,Mid,12.5,0.77,0,16,10.2,3.1,3.8,High
EMP_00103,Engineering,Mid,19.6,0.7,9,11,7.2,3.5,3.3,Medium
EMP_00104,Sales,Mid,7.1,0.55,1,20,7.6,4.5,3.2,Medium
EMP_00105,Customer Support,Mid,14.2,0.67,0,21,8.0,3.3,4.0,High
EMP_00106,Engineering,Junior,4.8,0.97,12,18,9.3,3.1,2.4,Medium
EMP_00107,Sales,Mid,5.6,0.6,1,9,7.8,2.9,3.1,Low
EMP_00108,Marketing,Junior,10.5,0.84,0,8,9.0,3.1,1.7,Medium
EMP_00109,Engineering,Senior,6.7,0.61,11,16,7.6,1.0,3.8,Medium
EMP_00110,Engineering,Lead,3.8,0.68,12,15,7.1,2.8,4.0,Low
EMP_00111,Engineering,Lead,5.6,0.77,11,18,9.9,4.1,2.9,Medium
EMP_00112,Engineering,Senior,1.2,0.53,12,17,8.7,1.5,2.6,Low
EMP_00113,Customer Support,Mid,14.2,0.65,0,11,9.3,3.2,4.3,High
EMP_00114,Customer Support,Senior,10.1,0.95,0,9,7.9,3.3,2.9,Medium
EMP_00115,Sales,Junior,2.3,0.77,2,18,9.4,4.1,4.0,High
EMP_00116,Customer Support,Mid,3.8,0.76,2,13,6.6,3.6,3.5,Medium
EMP_00117,Customer Support,Mid,2.5,0.74,2,18,6.8,3.8,3.1,Medium
EMP_00118,Engineering,Mid,12.4,0.79,10,17,9.6,2.9,4.0,Medium
EMP_00119,Customer Support,Senior,2.3,0.93,2,13,8.1,2.1,3.5,Medium
EMP_00120,Sales,Junior,15.2,0.76,0,16,7.8,3.1,4.7,Medium
EMP_00121,Customer Support,Mid,0.9,0.7,2,16,6.8,3.4,2.9,Low
EMP_00122,Customer Support,Lead,5.4,0.44,1,21,9.4,4.4,2.4,Medium
EMP_00123,Engineering,Junior,17.9,0.66,9,15,11.0,2.4,3.5,Low
EMP_00124,Engineering,Mid,14.5,0.56,10,19,9.1,5.0,3.9,High
EMP_00125,Engineering,Lead,1.9,0.81,12,13,7.5,3.6,3.3,Medium
EMP_00126,Sales,Mid,16.5,0.38,0,18,10.3,2.9,4.9,Medium
EMP_00127,Customer Support,Mid,10.1,0.64,0,13,8.7,2.8,4.5,Medium
EMP_00128,Customer Support,Junior,17.0,0.32,0,21,7.6,3.4,3.1,Low
EMP_00129,Engineering,Mid,12.2,0.6,10,20,10.1,3.4,3.6,Medium
EMP_00130,Sales,Senior,13.8,0.66,0,13,7.9,3.5,2.1,Low
EMP_00131,Sales,Mid,19.9,1.0,0,13,6.0,4.0,4.3,High
EMP_00132,Engineering,Mid,5.0,0.71,11,14,7.7,3.0,3.0,Medium
EMP_00133,Engineering,Junior,12.7,0.6,10,11,9.0,3.6,3.7,Medium
EMP_00134,Engineering,Junior,9.5,0.85,11,15,7.1,3.2,3.3,Medium
EMP_00135,Customer Support,Lead,1.3,0.62,2,15,5.4,4.8,2.3,Medium
EMP_00136,Engineering,Mid,0.8,0.61,12,13,10.4,2.1,4.2,Low
EMP_00137,Sales,Mid,2.8,0.45,2,18,12.7,5.0,2.7,Medium
EMP_00138,Marketing,Junior,13.2,0.58,0,15,7.5,2.8,3.1,Low
EMP_00139,Engineering,Mid,11.6,0.59,10,21,7.3,2.6,4.2,High
EMP_00140,HR,Lead,11.3,0.72,0,14,6.2,3.3,2.7,Low
EMP_00141,HR,Mid,1.1,0.62,2,17,7.0,3.7,4.7,Medium
EMP_00142,Engineering,Junior,9.7,0.93,11,9,5.9,3.2,2.7,Medium
EMP_00143,Sales,Mid,18.5,0.84,0,12,6.2,4.0,2.6,Low
EMP_00144,Engineering,Senior,8.3,0.28,11,16,8.2,3.1,3.5,Low
EMP_00145,Engineering,Mid,12.7,0.77,10,14,5.8,3.0,4.8,Medium
EMP_00146,Engineering,Senior,15.7,0.54,9,12,6.0,2.8,3.5,Low
EMP_00147,Sales,Mid,15.8,0.61,0,16,8.5,4.5,4.3,High
EMP_00148,Sales,Senior,10.6,0.58,0,11,7.3,3.8,2.4,Low
EMP_00149,Engineering,Mid,17.2,0.67,9,18,8.7,2.6,3.2,Medium
EMP_00150,Engineering,Junior,8.1,0.47,11,14,7.7,3.1,3.3,Medium
EMP_00151,Customer Support,Mid,17.8,0.81,0,13,7.9,2.4,2.5,Low
EMP_00152,Engineering,Junior,5.2,0.44,11,18,9.4,5.0,2.2,Low
EMP_00153,Engineering,Lead,6.0,0.71,11,15,7.4,3.6,3.3,Low
EMP_00154,Sales,Senior,1.5,0.95,2,14,9.3,1.9,4.8,High
EMP_00155,HR,Mid,16.0,0.56,0,15,7.6,2.4,3.7,Medium
EMP_00156,Engineering,Mid,8.6,0.64,11,23,7.0,2.5,3.0,Low
EMP_00157,Marketing,Junior,5.0,0.27,1,16,6.6,3.7,1.9,Low
EMP_00158,Marketing,Senior,5.0,0.6,1,15,5.7,2.1,3.2,Low
EMP_00159,Engineering,Mid,18.1,0.88,9,14,6.3,2.4,3.1,Low
EMP_00160,Marketing,Junior,16.8,0.88,0,10,5.5,3.3,3.8,Medium
EMP_00161,Engineering,Mid,11.3,0.72,10,15,6.7,3.4,3.3,Medium
EMP_00162,Sales,Junior,12.5,0.86,0,22,9.4,3.1,4.0,High
EMP_00163,Sales,Mid,9.7,1.0,1,14,8.2,3.2,4.1,High
EMP_00164,Sales,Mid,8.1,0.94,1,14,7.6,2.4,3.4,Medium
EMP_00165,Engineering,Junior,18.4,0.71,9,20,7.2,3.9,3.5,Medium
EMP_00166,Customer Support,Lead,2.9,0.41,2,9,8.1,1.9,3.5,Low
EMP_00167,Engineering,Junior,8.7,0.63,11,13,8.2,3.4,2.1,Low
EMP_00168,Engineering,Junior,7.2,0.53,11,11,6.5,4.9,4.1,Medium
EMP_00169,Engineering,Junior,10.2,0.77,10,12,8.9,3.2,4.9,High
EMP_00170,Sales,Senior,9.4,0.52,1,16,7.7,2.4,3.5,Low
EMP_00171,Marketing,Mid,10.6,0.7,0,23,8.6,3.4,2.9,Medium
EMP_00172,Engineering,Mid,3.2,0.76,12,19,8.2,3.3,3.5,Medium
EMP_00173,Sales,Junior,10.5,0.69,0,7,6.1,3.6,3.2,Medium
EMP_00174,Engineering,Junior,5.2,0.51,11,13,10.2,3.6,3.5,Medium
EMP_00175,Sales,Mid,4.1,0.82,2,17,8.2,4.3,3.3,High
EMP_00176,Engineering,Senior,1.8,0.34,12,12,7.6,3.1,1.8,Low
EMP_00177,Marketing,Senior,15.4,0.7,0,13,9.1,2.8,3.6,Low
EMP_00178,Engineering,Junior,8.8,0.68,11,14,6.5,2.9,5.0,High
EMP_00179,Customer Support,Mid,12.7,0.73,0,15,5.8,3.0,2.4,Low
EMP_00180,Engineering,Lead,14.7,0.77,10,19,9.0,3.7,4.4,High
EMP_00181,Engineering,Mid,13.7,0.83,10,12,9.9,2.4,3.8,Medium
EMP_00182,Engineering,Senior,9.7,0.69,11,20,8.6,2.7,2.8,Low
EMP_00183,Customer Support,Junior,8.1,0.63,1,17,9.4,3.5,2.4,Low
EMP_00184,Customer Support,Lead,7.8,0.62,1,15,6.3,4.5,3.7,Medium
EMP_00185,Engineering,Senior,13.0,0.64,10,13,7.7,2.8,3.8,Low
EMP_00186,Marketing,Lead,10.1,0.82,0,21,7.2,3.8,2.3,Medium
EMP_00187,Customer Support,Mid,17.1,0.67,0,18,9.7,3.3,4.2,Medium
EMP_00188,Sales,Mid,17.6,0.9,0,9,8.9,3.9,3.1,Medium
EMP_00189,Sales,Lead,3.8,0.64,2,16,9.7,3.5,3.9,Medium
EMP_00190,Engineering,Junior,3.2,0.55,12,22,7.3,3.5,4.1,Medium
EMP_00191,Engineering,Mid,12.8,0.82,10,9,6.5,5.0,4.2,Medium
EMP_00192,Customer Support,Senior,6.4,0.55,1,11,10.2,5.0,2.7,Medium
EMP_00193,Customer Support,Senior,0.9,0.7,2,17,8.2,3.3,5.0,High
EMP_00194,Sales,Lead,17.8,0.81,0,9,9.8,2.8,2.8,Medium
EMP_00195,Engineering,Junior,4.9,0.56,12,10,8.1,3.7,4.2,Medium
EMP_00196,Engineering,Senior,18.6,0.87,9,16,11.5,4.0,3.1,Medium
EMP_00197,Marketing,Senior,14.5,0.83,0,14,10.0,4.6,3.5,Medium
EMP_00198,Customer Support,Junior,15.4,0.93,0,17,8.0,1.7,3.4,Low
EMP_00199,Customer Support,Mid,4.4,0.79,2,20,8.2,3.2,3.9,Medium
EMP_00200,Marketing,Junior,5.1,0.72,1,18,8.2,3.1,4.3,High
EMP_00201,Sales,Mid,10.7,0.54,0,5,6.5,2.9,3.0,Low
EMP_00202,Engineering,Lead,3.9,1.0,12,9,7.5,2.3,2.8,Medium
EMP_00203,Engineering,Mid,6.5,0.45,11,14,7.4,3.3,1.8,Low
EMP_00204,Customer Support,Senior,6.8,0.81,1,17,8.5,4.1,3.6,Medium
EMP_00205,Sales,Lead,3.6,0.7,2,12,7.0,2.5,3.4,Low
EMP_00206,Engineering,Mid,4.5,0.47,12,19,8.0,3.6,3.6,Medium
EMP_00207,Engineering,Senior,15.9,0.74,9,12,7.7,3.8,3.4,Medium
EMP_00208,Marketing,Mid,3.8,0.63,2,14,8.3,4.8,4.1,High
EMP_00209,Engineering,Senior,1.1,0.81,12,22,10.4,4.0,3.1,Medium
EMP_00210,Engineering,Junior,12.8,0.62,10,14,9.8,3.4,3.8,Medium
EMP_00211,Sales,Lead,19.5,0.76,0,19,6.2,3.7,3.5,High
EMP_00212,Marketing,Junior,7.0,0.32,1,8,8.1,4.1,2.7,Low
EMP_00213,Marketing,Mid,2.8,0.89,2,12,7.7,3.6,3.0,High
EMP_00214,Engineering,Senior,11.6,0.56,10,21,7.2,4.1,4.2,Medium
EMP_00215,Marketing,Mid,18.2,0.83,0,12,11.4,3.2,4.2,Medium
EMP_00216,Engineering,Mid,15.8,0.74,9,20,7.4,4.5,4.1,High
EMP_00217,Engineering,Mid,12.6,0.71,10,17,7.5,3.1,3.4,Low
EMP_00218,Marketing,Senior,6.6,0.79,1,11,10.8,3.0,1.7,Low
EMP_00219,Sales,Junior,11.1,0.96,0,9,9.7,3.1,2.2,Low
EMP_00220,Customer Support,Junior,2.3,0.66,2,20,7.5,2.7,3.3,Medium
EMP_00221,Marketing,Junior,13.7,0.84,0,13,9.3,4.1,2.3,Medium
EMP_00222,Sales,Mid,14.6,0.8,0,16,7.8,2.2,4.4,High
EMP_00223,Engineering,Junior,19.3,0.95,9,17,7.9,3.2,2.9,Medium
EMP_00224,Engineering,Mid,5.6,0.59,11,20,7.0,3.8,3.3,Low
EMP_00225,Engineering,Mid,0.9,0.77,12,21,4.6,3.5,4.9,High
EMP_00226,Engineering,Junior,11.1,0.88,10,11,6.1,3.5,4.3,High
EMP_00227,HR,Mid,14.3,0.91,0,17,6.5,3.4,3.8,Medium
EMP_00228,Engineering,Senior,15.9,0.66,9,14,8.8,3.6,3.7,Medium
EMP_00229,Customer Support,Junior,4.3,0.62,2,16,8.4,2.7,2.9,Medium
EMP_00230,Sales,Mid,5.6,0.69,1,17,9.8,3.1,4.1,Medium
EMP_00231,Marketing,Mid,10.5,0.5,0,21,6.4,3.3,3.7,Medium
EMP_00232,Sales,Mid,6.9,0.91,1,10,10.9,3.9,3.4,High
EMP_00233,Sales,Senior,17.3,0.77,0,14,10.7,4.3,4.0,High
EMP_00234,Sales,Mid,9.7,0.74,1,16,8.3,3.4,4.0,High
EMP_00235,Engineering,Mid,16.1,0.67,9,14,7.2,4.1,2.7,Low
EMP_00236,Marketing,Junior,11.8,0.52,0,17,7.2,3.6,4.2,High
EMP_00237,Engineering,Mid,15.6,0.67,9,14,8.5,3.4,3.4,Medium
EMP_00238,Engineering,Mid,7.0,0.7,11,13,11.0,4.1,3.6,Medium
EMP_00239,Sales,Junior,16.7,0.87,0,14,8.1,2.3,2.4,Medium
EMP_00240,Engineering,Mid,5.9,0.68,11,13,5.8,3.9,2.5,Medium
EMP_00241,Customer Support,Lead,11.1,0.76,0,19,11.0,3.0,2.3,Low
EMP_00242,HR,Mid,4.7,0.6,2,15,7.6,4.3,5.0,High
EMP_00243,Customer Support,Mid,9.8,0.77,1,21,10.4,3.0,5.0,High
EMP_00244,Engineering,Lead,6.7,0.89,11,17,9.1,3.3,2.1,Low
EMP_00245,Engineering,Senior,5.7,0.76,11,16,8.0,2.2,2.3,Low
EMP_00246,Customer Support,Mid,19.4,0.92,0,12,9.6,3.8,3.1,High
EMP_00247,Sales,Senior,3.6,0.68,2,14,7.1,3.2,4.4,High
EMP_00248,HR,Senior,15.9,0.53,0,19,7.8,3.1,4.0,Low
EMP_00249,HR,Mid,19.7,0.64,0,9,7.4,3.5,5.0,High
EMP_00250,Customer Support,Mid,0.9,0.68,2,15,7.9,2.2,3.3,Medium
EMP_00251,Engineering,Mid,14.1,0.74,10,26,9.0,2.9,2.9,Low
EMP_00252,Engineering,Lead,5.4,0.72,11,16,9.0,3.4,3.5,Medium
EMP_00253,Customer Support,Mid,1.3,0.86,2,18,5.9,4.7,3.4,Medium
EMP_00254,Engineering,Junior,8.4,0.79,11,10,7.4,3.6,3.5,Medium
EMP_00255,Engineering,Senior,18.7,0.98,9,16,7.7,3.8,3.6,High
EMP_00256,Sales,Mid,0.7,0.62,2,17,9.1,3.5,5.0,High
EMP_00257,Customer Support,Junior,12.0,0.6,0,14,6.1,5.0,3.6,Medium
EMP_00258,Marketing,Mid,10.3,0.69,0,10,9.3,4.2,2.6,Medium
EMP_00259,Sales,Mid,17.5,0.65,0,12,6.5,1.9,3.3,Medium
EMP_00260,Engineering,Senior,2.1,0.85,12,21,8.6,3.7,4.1,High
EMP_00261,Sales,Junior,13.8,0.86,0,11,9.9,4.4,4.0,High
EMP_00262,HR,Senior,13.8,0.82,0,22,6.4,2.3,3.9,Medium
EMP_00263,Engineering,Mid,13.5,0.92,10,16,8.6,3.6,2.1,Low
EMP_00264,Sales,Junior,18.9,0.49,0,13,7.9,3.1,2.3,Low
EMP_00265,Customer Support,Lead,16.6,0.85,0,17,6.7,2.8,3.4,Medium
EMP_00266,Marketing,Mid,1.3,0.42,2,12,6.4,4.6,3.9,Medium
EMP_00267,Marketing,Junior,9.7,0.7,1,10,7.1,3.0,2.8,Low
EMP_00268,Marketing,Mid,8.3,0.64,1,20,7.0,3.0,4.7,Medium
EMP_00269,Engineering,Senior,6.5,0.76,11,13,7.9,2.8,3.9,Medium
EMP_00270,Engineering,Mid,9.3,0.73,11,14,7.6,2.6,3.1,Medium
EMP_00271,Customer Support,Junior,8.0,0.88,1,13,8.8,3.1,5.0,High
EMP_00272,Customer Support,Junior,8.9,0.6,1,16,9.4,3.0,3.1,Medium
EMP_00273,Customer Support,Junior,19.6,0.9,0,13,5.9,2.5,3.2,Low
EMP_00274,Customer Support,Senior,2.2,0.65,2,16,7.8,3.5,3.2,Low
EMP_00275,Sales,Mid,18.5,0.54,0,21,6.8,1.5,3.5,Low
EMP_00276,Sales,Junior,9.9,0.56,1,15,6.6,3.6,2.6,Low
EMP_00277,Marketing,Junior,12.7,0.7,0,19,5.8,4.3,4.1,High
EMP_00278,Sales,Mid,16.7,0.93,0,12,5.7,3.1,4.2,High
EMP_00279,Marketing,Lead,7.5,0.74,1,16,7.4,3.8,4.0,High
EMP_00280,Marketing,Mid,8.9,0.51,1,16,8.8,3.3,3.1,Medium
EMP_00281,Customer Support,Lead,8.5,0.66,1,13,8.8,5.0,3.1,High
EMP_00282,Engineering,Mid,7.8,0.98,11,19,6.6,4.3,4.0,High
EMP_00283,Engineering,Junior,18.5,0.8,9,18,6.5,2.8,3.7,Medium
EMP_00284,Engineering,Senior,16.7,0.72,9,13,8.6,4.5,2.9,Medium
EMP_00285,Sales,Mid,2.6,0.7,2,15,7.6,5.0,1.9,Low
EMP_00286,Engineering,Senior,2.6,0.74,12,11,9.5,3.3,3.2,Low
EMP_00287,Sales,Lead,8.8,0.62,1,22,6.5,3.9,3.9,Medium
EMP_00288,Sales,Junior,2.4,0.7,2,18,5.4,4.3,3.9,High
EMP_00289,Engineering,Junior,12.6,0.68,10,8,9.1,2.6,2.3,Low
EMP_00290,Sales,Senior,3.3,0.74,2,25,5.4,2.0,4.2,High
EMP_00291,Engineering,Junior,10.7,0.73,10,14,6.0,3.6,5.0,High
EMP_00292,Engineering,Junior,0.6,0.68,12,9,7.2,2.8,3.2,Low
EMP_00293,Customer Support,Junior,6.7,0.55,1,13,7.8,3.3,3.3,Medium
EMP_00294,Engineering,Junior,13.7,0.61,10,13,9.1,4.3,3.1,Medium
EMP_00295,Engineering,Senior,9.9,0.84,11,11,6.7,4.0,3.2,Medium
EMP_00296,Sales,Junior,19.6,0.78,0,22,10.2,3.9,4.5,High
EMP_00297,Marketing,Mid,17.5,0.82,0,12,5.9,3.4,2.9,Medium
EMP_00298,Engineering,Mid,7.5,0.63,11,13,7.6,3.0,3.7,Medium
EMP_00299,Sales,Mid,1.4,0.75,2,16,9.4,2.9,3.3,Medium
EMP_00300,Engineering,Junior,17.0,0.68,9,14,9.5,4.9,3.7,High
EMP_00301,Engineering,Senior,18.3,0.76,9,14,3.8,5.0,3.3,Medium
EMP_00302,Sales,Junior,16.5,0.88,0,16,12.3,4.4,4.2,High
EMP_00303,Sales,Senior,3.0,0.81,2,17,7.7,3.3,4.3,High
EMP_00304,Sales,Senior,20.0,0.72,0,10,8.6,2.6,3.8,Medium
EMP_00305,Marketing,Mid,5.5,0.95,1,15,7.7,5.0,3.3,High
EMP_00306,HR,Mid,14.6,0.79,0,22,11.4,3.9,4.1,High
EMP_00307,Sales,Mid,18.2,0.63,0,14,10.1,3.8,2.9,Medium
EMP_00308,Engineering,Mid,5.1,0.71,11,15,11.4,3.0,3.8,Low
EMP_00309,Marketing,Senior,18.2,0.72,0,15,8.9,4.1,3.1,Medium
EMP_00310,Engineering,Senior,6.5,0.73,11,17,9.6,3.3,3.7,Medium
EMP_00311,Sales,Mid,19.5,0.79,0,15,6.6,2.7,2.7,Low
EMP_00312,Engineering,Mid,6.0,0.67,11,13,7.8,3.2,4.4,Medium
EMP_00313,Engineering,Lead,19.1,0.65,9,14,9.6,3.8,2.5,Medium
EMP_00314,HR,Lead,1.5,0.76,2,17,8.7,4.7,3.4,High
EMP_00315,Customer Support,Mid,14.3,0.57,0,11,8.4,2.2,2.3,Low
EMP_00316,Marketing,Mid,10.9,0.54,0,12,7.0,2.5,4.4,Medium
EMP_00317,Sales,Junior,9.8,0.75,1,17,9.9,3.2,4.7,High
EMP_00318,Engineering,Lead,4.9,0.89,12,14,9.9,2.8,2.5,Low
EMP_00319,Engineering,Junior,14.3,0.69,10,12,9.8,3.5,3.8,Medium
EMP_00320,Engineering,Mid,4.2,0.75,12,8,8.6,3.1,3.3,Medium
EMP_00321,Sales,Junior,11.3,0.87,0,19,8.2,3.6,3.9,High
EMP_00322,Marketing,Junior,5.4,0.78,1,7,9.9,3.6,4.8,High
